index,peak_no,X1,X2,X3,X4,Area_f,conc
1,8,2.266207446029659,20345,20028,20797,736.284910204337,0.5
2,9,2.3671617271363936,21731,21413,22162,761.5493281538783,0.5
3,10,2.1838858258743272,23025,22700,23434,696.4459008991664,0.5
4,11,3.2891609113707543,24361,24046,24732,1040.153799123363,1
5,12,2.957710961461734,25682,25358,26103,900.2743558452929,1
6,13,2.983675563020269,26970,26648,27386,888.2468090558752,1
7,14,2.882995687070985,28264,27934,28671,875.7627922640111,2
8,15,2.8245153433826777,29558,29220,29957,853.6730607189482,2
9,16,3.509155300660681,30912,30584,31260,1060.7484822553815,2
10,17,3.9206535072798143,32198,31873,32554,1168.865127741875,2
11,18,3.440432894267944,33587,33257,34002,1068.1025284427537,2
12,19,5.382528558527832,34951,34548,35294,1679.3545468922593,5
13,20,5.551551876364328,36238,35835,36582,1721.540136960002,5
14,21,5.68577698551789,37530,37172,37878,1767.2281818960757,5
15,22,9.899176745384297,38876,38486,39238,3116.4423217246804,10
16,23,10.05121284645921,40179,39775,40526,3115.587193289284,10
17,24,10.13172440145014,41468,41060,41811,3127.032918053723,10
18,25,14.898478218349519,42763,42420,43099,4399.561954364118,15
19,26,15.305402656788686,44049,43709,44383,4560.504425087169,15
20,27,15.672530179684529,45331,44973,45662,4835.629742148235,15
21,28,21.92726205930948,46716,46379,47049,6748.393164554953,20
22,29,21.235072590752576,47996,47661,48328,6288.259368241895,20
23,30,20.55540219149554,49278,48943,49610,5869.697654031339,20
