index,X1,X2,X3,X4,Area_f,conc
23,0.49846730179202825,4362,4310,4398,24.587868633614022,0.5
22,0.5315404379396915,4653,4586,4709,28.27767641130219,0.5
21,0.5677525002558701,4933,4896,4981,23.944062183802423,0.5
19,0.9635616976400505,5211,5163,5276,44.46147088136136,0.75
16,1.0370208337008708,5490,5454,5537,43.220823934135446,0.75
18,0.991939715151869,5765,5713,5831,45.09472896862623,0.75
13,1.1026629403292925,6041,5986,6095,43.70554132587311,1
20,0.9571854099112194,6317,6267,6376,40.493900120508705,1
15,1.0726884860389254,6596,6547,6640,44.92743346603443,1
17,0.9960283900508149,6869,6805,6963,49.627828555851266,1
14,1.096854567404246,7169,7118,7225,47.63351096220742,1
10,1.991497094533686,7450,7378,7508,89.01241902600128,2
12,1.8495560591549673,7725,7669,7787,83.99002514606913,2
11,1.9342405625236445,8001,7944,8058,85.94640726691766,2
8,2.838597777169494,8282,8224,8352,123.17318034462588,3
7,2.8972013409737185,8556,8496,8620,125.03517479679005,3
9,2.8001455945070335,8829,8764,8903,123.8331047064383,3
6,4.8983232458876245,9106,9046,9165,200.46139324291474,5
5,5.095909175789562,9381,9328,9463,212.7767022078682,5
4,5.373857463170168,9652,9591,9716,225.61190608711917,5
2,8.689689761962688,9947,9885,10009,352.31662947333314,7.5
1,8.734758052634303,10218,10157,10313,364.3134381807879,7.5
3,8.481337195158197,10494,10430,10575,358.2622464885135,7.5
